2020-05-31 19:10:50.773 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:10:50.842 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 5.534 seconds (JVM running for 6.488)
2020-05-31 19:10:54.266 | http-nio-8081-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:10:54.288 | http-nio-8081-exec-1 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:11:08.923 | SpringContextShutdownHook | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:11:11.935 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 8216 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:11:11.937 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:11:14.397 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:11:14.398 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:11:14.398 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:11:14.498 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:11:15.103 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:11:17.879 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:11:17.893 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:11:17.907 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:11:17.933 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:11:17.999 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 6.585 seconds (JVM running for 7.516)
2020-05-31 19:11:23.393 | http-nio-8080-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:11:23.416 | http-nio-8080-exec-1 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:13:31.249 | Thread-214 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:13:31.481 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 8216 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:13:31.481 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:13:32.562 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:13:32.563 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:13:32.563 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:13:32.584 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:13:32.702 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:13:33.887 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:13:33.893 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:13:33.894 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:13:33.898 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:13:33.904 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 2.48 seconds (JVM running for 143.42)
2020-05-31 19:13:40.728 | http-nio-8080-exec-3 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:13:40.739 | http-nio-8080-exec-3 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:14:52.004 | SpringContextShutdownHook | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:14:55.071 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 17688 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:14:55.073 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:14:57.580 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:14:57.581 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:14:57.581 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:14:57.676 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:14:58.271 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:15:00.016 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:15:00.029 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:15:00.042 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:15:00.067 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:15:00.159 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 5.667 seconds (JVM running for 6.621)
2020-05-31 19:15:02.070 | http-nio-8080-exec-5 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:15:02.091 | http-nio-8080-exec-5 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:15:02.579 | http-nio-8080-exec-5 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} inited
2020-05-31 19:16:00.945 | Thread-214 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closing ...
2020-05-31 19:16:00.950 | Thread-214 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closed
2020-05-31 19:16:01.247 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 17688 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:16:01.247 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:16:02.337 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:16:02.338 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:16:02.338 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:16:02.365 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:16:02.510 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:16:03.661 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:16:03.664 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:16:03.665 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:16:03.668 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:16:03.678 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 2.475 seconds (JVM running for 70.14)
2020-05-31 19:16:08.163 | http-nio-8080-exec-2 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:16:08.168 | http-nio-8080-exec-2 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:16:08.311 | http-nio-8080-exec-2 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} inited
2020-05-31 19:17:50.851 | Thread-227 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} closing ...
2020-05-31 19:17:50.854 | Thread-227 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} closed
2020-05-31 19:17:51.167 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 17688 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:17:51.167 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:17:52.054 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:17:52.054 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:17:52.054 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:17:52.074 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:17:52.168 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:17:54.333 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:17:54.337 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:17:54.338 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:17:54.341 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
